date,min,max,PM 10 median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,4.26,24.83,12.02,9.32,15.53,4.483,313
2019-12-10T00:00:00.000Z,3.38,27.98,10.18,7.25,15.98,5.073,415
2019-12-11T00:00:00.000Z,4.38,30.68,14.44,10.34,18.53,5.483,425
2019-12-12T00:00:00.000Z,3.64,34.6,16.98,9.9,24.5,8.326,496
2019-12-13T00:00:00.000Z,4.37,39.17,15.54,12.46,24.13,7.974,557
2019-12-14T00:00:00.000Z,2.88,35.44,15.18,11.05,20.86,7.191,399
2019-12-15T00:00:00.000Z,2.27,28.85,13.28,8.41,17.7,5.842,574
2019-12-16T00:00:00.000Z,8.38,29.31,16.6,14.08,19.34,3.633,285
2019-12-17T00:00:00.000Z,5.26,22.14,10.61,8.61,15.74,4.176,288
2019-12-18T00:00:00.000Z,1.3,27,8.48,5.36,11.62,4.928,465
2019-12-19T00:00:00.000Z,6.32,48.32,28.93,20.27,37.34,10.163,551
2019-12-20T00:00:00.000Z,26.22,226.52,50.04,39.36,66.88,34.073,571
2019-12-21T00:00:00.000Z,6.38,36.78,19.19,13.35,25.14,7.221,555
2019-12-22T00:00:00.000Z,6.2,97.64,13.08,11.55,14.7,7.487,555
2019-12-23T00:00:00.000Z,3.22,50.18,15.4,7.33,24.68,11.29,561
2019-12-24T00:00:00.000Z,3.62,47.12,15.5,10.5,19.63,6.915,577
2019-12-25T00:00:00.000Z,0.96,28.32,8.94,4.04,17.23,7.621,580
2019-12-26T00:00:00.000Z,0.3,10.28,3.18,2.27,4.8,1.775,577
2019-12-27T00:00:00.000Z,0.96,9.44,2.38,1.86,3.2,1.346,560
2019-12-28T00:00:00.000Z,1.22,10.95,4.72,2.72,6.26,2.078,578
2019-12-29T00:00:00.000Z,4.58,21.02,13.28,8.43,15.48,4.006,580
2019-12-30T00:00:00.000Z,5.76,271.6,20.57,11.04,26.86,16.742,574
2019-12-31T00:00:00.000Z,7.62,428.82,18.67,14.72,25.7,47.235,550
2020-01-01T00:00:00.000Z,5.44,156.12,12.85,9.89,24.05,15.172,569
2020-01-02T00:00:00.000Z,9.43,89.07,30.89,20.96,48.62,17.529,557
2020-01-03T00:00:00.000Z,4.16,33.61,20.35,15.5,24.14,6.228,546
2020-01-04T00:00:00.000Z,0.98,32.22,12.67,9.89,16.23,5.94,557
2020-01-05T00:00:00.000Z,5.24,39.79,12.91,10.35,16.26,5.24,559
2020-01-06T00:00:00.000Z,3.62,38.67,13.52,10.52,26.29,9.574,511
2020-01-07T00:00:00.000Z,6.74,60.78,22.42,19.1,30.17,10.041,499
2020-01-08T00:00:00.000Z,6.7,42.62,22.59,15.2,26.58,7.146,394
2020-01-09T00:00:00.000Z,4.21,35.2,15.8,10.96,21.92,6.281,467
2020-01-10T00:00:00.000Z,1.38,33.67,10.96,7.09,13.2,4.173,334
2020-01-11T00:00:00.000Z,0.59,28.82,10.42,3.66,17.73,7.312,504
2020-01-12T00:00:00.000Z,1.25,22.64,6,3.86,10.37,4.682,528
2020-01-13T00:00:00.000Z,7.58,37.95,14.75,11.73,19.14,6.942,441
2020-01-14T00:00:00.000Z,3.55,22.92,12.59,7.42,16.02,4.709,373
2020-01-15T00:00:00.000Z,1.03,10.8,5.09,4.08,6.05,1.471,400
2020-01-16T00:00:00.000Z,5.55,36.61,17.57,14.9,20.89,5.324,409
2020-01-17T00:00:00.000Z,10.3,39.42,26.58,22.62,29.24,4.776,428
2020-01-18T00:00:00.000Z,3.68,33.47,12.2,7.6,19.27,7.632,490
2020-01-19T00:00:00.000Z,7.6,35.58,16.98,14.25,22.51,5.756,424
2020-01-20T00:00:00.000Z,7.51,31.3,15.26,12.95,17.46,3.836,334
2020-01-21T00:00:00.000Z,2.45,20.07,10.19,5.05,13.15,4.455,402
2020-01-22T00:00:00.000Z,3.9,8.55,5.08,4.29,6.06,1.434,8
2020-01-23T00:00:00.000Z,1.86,11.82,7.06,4.59,8.63,2.224,79
2020-01-24T00:00:00.000Z,2.42,29.33,5.22,4.28,7.68,3.266,246
2020-01-25T00:00:00.000Z,0.8,30.2,4.46,3.14,9.69,6.869,286
2020-01-26T00:00:00.000Z,12.54,52.66,31.88,27.03,40.53,9.597,261
2020-01-27T00:00:00.000Z,13.6,72.54,34.56,28.62,47.93,13.733,243
2020-01-28T00:00:00.000Z,3.92,37.15,12.8,10.01,18.7,8.29,266
2020-01-29T00:00:00.000Z,3.7,26.06,10.7,7.81,15.2,5.239,306
2020-01-30T00:00:00.000Z,1.66,28.87,8.32,4.93,15.43,6.29,271
2020-01-31T00:00:00.000Z,3.58,32.2,16.18,7.04,20.69,7.256,273
2020-02-01T00:00:00.000Z,0.22,26.45,8.96,3.14,14.8,6.638,285
2020-02-02T00:00:00.000Z,3.88,23.3,11.86,9.88,14.28,3.089,303
2020-02-03T00:00:00.000Z,5.99,27.83,11.72,9.83,16.13,4.758,273
2020-02-04T00:00:00.000Z,1.25,26.1,8.05,4.54,18.42,7.582,231
2020-02-05T00:00:00.000Z,1.11,23.87,6.97,4.61,9.99,4.651,212
2020-02-06T00:00:00.000Z,3.78,25.3,10.45,7.74,15,4.479,185
2020-02-07T00:00:00.000Z,4.05,37.94,10.55,8.13,14.56,5.114,213
2020-02-08T00:00:00.000Z,7,36.15,20.56,13,23.12,6.993,171
2020-02-09T00:00:00.000Z,5.18,44.65,15.44,9.32,33.11,11.791,328
2020-02-10T00:00:00.000Z,2.65,29.17,13.02,8.88,18.36,5.943,315
2020-02-11T00:00:00.000Z,1.58,29.87,9.48,6.2,13.2,5.85,364
2020-02-12T00:00:00.000Z,2.84,26.44,10.23,6.61,17.73,6.112,374
2020-02-13T00:00:00.000Z,1.77,33.01,11.47,7.98,15.71,5.06,368
2020-02-14T00:00:00.000Z,1.25,23.2,10.33,7.68,12.02,3.949,374
2020-02-15T00:00:00.000Z,10.6,35.28,21.53,16.84,25.36,5.422,312
2020-02-16T00:00:00.000Z,0.74,14.13,5.92,2.8,7.9,3.018,377
2020-02-17T00:00:00.000Z,6.72,32.97,18.48,15.94,21.86,4.325,345
2020-02-18T00:00:00.000Z,3.72,26.78,16.16,11.62,19.23,5.235,295
2020-02-19T00:00:00.000Z,0.53,22.06,6.05,3.91,10.76,5.002,425
2020-02-20T00:00:00.000Z,3.4,31.98,16.27,11.23,22.57,6.903,492
2020-02-21T00:00:00.000Z,2.25,35.51,15.93,10.35,19.21,5.821,435
2020-02-22T00:00:00.000Z,2.54,31.35,11.29,8.1,17.09,6.254,410
2020-02-23T00:00:00.000Z,0.89,32.65,14.84,8.49,21.34,7.851,442
2020-02-24T00:00:00.000Z,3.82,20.3,11.04,8.58,13.64,3.344,519
2020-02-25T00:00:00.000Z,3.09,64.8,9.38,7.2,12.02,5.484,457
2020-02-26T00:00:00.000Z,0.82,8.82,3.38,2.29,4.45,1.466,405
2020-02-27T00:00:00.000Z,0.62,30.24,5.53,4.09,7.84,7.075,466
2020-02-28T00:00:00.000Z,4.22,29.72,12.18,9,15.7,4.71,553
2020-02-29T00:00:00.000Z,2.36,27.74,11.65,7.62,14.81,5.198,561
2020-03-01T00:00:00.000Z,4.09,21.96,9.09,7.21,11.19,2.698,564
2020-03-02T00:00:00.000Z,3.42,24.22,7.49,6.06,9.02,2.281,482
2020-03-03T00:00:00.000Z,2.56,30.45,10.79,6.75,18.82,6.918,388
2020-03-04T00:00:00.000Z,3.34,22.92,9.47,6.74,11.6,3.399,571
2020-03-05T00:00:00.000Z,4.78,31.84,11.68,9.55,14.59,5.321,566
2020-03-06T00:00:00.000Z,12.25,48.3,24.52,17.68,37.4,10.016,557
2020-03-07T00:00:00.000Z,4.49,36.43,14.57,9.94,18.98,7.28,572
2020-03-08T00:00:00.000Z,7.21,29.72,13.1,10.52,17.62,5.23,463
2020-03-09T00:00:00.000Z,3.52,27.74,12.22,8.19,15.61,4.603,465
2020-03-10T00:00:00.000Z,2.11,29.88,12.24,6.17,17.94,7.704,467
2020-03-11T00:00:00.000Z,4.87,24.46,11.62,9.51,15.09,3.734,464
2020-03-12T00:00:00.000Z,2.25,22.41,11.76,9.18,14.28,3.697,418
2020-03-13T00:00:00.000Z,2.54,21.87,8.15,5.64,13.98,4.737,441
