date,min,max,PM2.5 median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.84,4.8,2.29,1.65,3.12,0.881,313
2019-12-10T00:00:00.000Z,0.78,4.19,2.12,1.48,3.01,0.897,415
2019-12-11T00:00:00.000Z,2.31,15.86,4.42,3.36,9.96,3.682,425
2019-12-12T00:00:00.000Z,2.15,17.98,9.07,5.97,12.16,4.288,496
2019-12-13T00:00:00.000Z,1.58,20.89,7.38,5.7,13.14,4.786,557
2019-12-14T00:00:00.000Z,0.81,15.64,7.86,2.76,11.84,4.49,399
2019-12-15T00:00:00.000Z,0.32,4.95,2.5,1.54,3.06,1.031,574
2019-12-16T00:00:00.000Z,1.85,5.89,3.25,2.78,3.82,0.861,285
2019-12-17T00:00:00.000Z,2.25,12.88,4.65,3.12,8.75,3.207,288
2019-12-18T00:00:00.000Z,0.26,12.79,2.02,1.38,2.59,2.412,466
2019-12-19T00:00:00.000Z,3.1,25.56,14.73,10.75,19.48,5.664,551
2019-12-20T00:00:00.000Z,12.82,51.64,22.14,19.53,30.75,6.758,571
2019-12-21T00:00:00.000Z,2.65,19.71,10.34,6.92,14.1,4.522,555
2019-12-22T00:00:00.000Z,3.29,13.67,6.5,5.6,7.26,1.483,555
2019-12-23T00:00:00.000Z,1.2,25.06,8.66,2.12,13.77,6.431,561
2019-12-24T00:00:00.000Z,1.1,26.5,4.25,2.27,7.16,3.588,577
2019-12-25T00:00:00.000Z,0.41,13,4.05,1.19,9.36,4.229,580
2019-12-26T00:00:00.000Z,0.18,2.65,0.99,0.76,1.23,0.41,577
2019-12-27T00:00:00.000Z,0.38,4.5,0.92,0.74,1.28,0.613,560
2019-12-28T00:00:00.000Z,0.55,6.28,2.52,1.2,3.41,1.24,578
2019-12-29T00:00:00.000Z,2.45,11.88,7.65,4.32,8.98,2.471,580
2019-12-30T00:00:00.000Z,1.52,215.69,6.48,4.5,7.79,12.445,574
2019-12-31T00:00:00.000Z,1.45,326.97,3.46,2.59,6.2,35.126,550
2020-01-01T00:00:00.000Z,0.85,97.1,2.99,1.72,10.64,10.296,569
2020-01-02T00:00:00.000Z,5.32,32.11,17.07,11.1,23.39,7.267,557
2020-01-03T00:00:00.000Z,1.68,17.39,4.97,3.82,12.38,4.692,546
2020-01-04T00:00:00.000Z,0.2,5.34,2.1,1.72,2.78,1.033,557
2020-01-05T00:00:00.000Z,1.2,14.34,2.85,2.1,6.1,3.285,559
2020-01-06T00:00:00.000Z,1.74,23.34,7.18,5.39,15.46,6.289,511
2020-01-07T00:00:00.000Z,1.5,24.2,12.6,4.54,15.3,6.093,499
2020-01-08T00:00:00.000Z,3.91,13.88,5.68,5.05,7.07,2.581,394
2020-01-09T00:00:00.000Z,0.92,10.7,4.84,4.12,6.64,2.097,467
2020-01-10T00:00:00.000Z,0.44,9.15,4.51,1.75,5.81,2.265,334
2020-01-11T00:00:00.000Z,0.3,12.59,2.82,1.25,8.48,3.675,504
2020-01-12T00:00:00.000Z,0.35,9.05,3.36,1.82,5.82,2.358,528
2020-01-13T00:00:00.000Z,2.04,20.23,3.85,2.99,9.93,5.031,441
2020-01-14T00:00:00.000Z,1.12,11.2,5.2,2.45,7.84,2.763,373
2020-01-15T00:00:00.000Z,0.22,3,1.76,1.13,2.18,0.67,400
2020-01-16T00:00:00.000Z,0.98,15.32,3.44,2.96,4.79,3.272,409
2020-01-17T00:00:00.000Z,3.24,18.45,14.58,11.57,16.48,3.416,428
2020-01-18T00:00:00.000Z,0.6,19.44,2.49,1.42,4.11,4.643,490
2020-01-19T00:00:00.000Z,1.92,5.6,3.29,2.76,4.13,0.83,424
