date,min,max,PM 2.5 median,q1,q3,stdev,count
2019-08-05T00:00:00.000Z,10.8,21.32,13.29,12.78,15.34,1.95,111
2019-08-06T00:00:00.000Z,1.76,34.28,7.68,5.81,16.63,8.012,718
2019-08-07T00:00:00.000Z,2.23,19.95,9.4,6.77,11.81,3.388,718
2019-08-08T00:00:00.000Z,1.41,11.53,4.04,3.29,9.13,3.04,717
2019-08-09T00:00:00.000Z,2.02,12.42,5,4.01,5.89,1.398,713
2019-08-10T00:00:00.000Z,1.35,24.3,8.01,5.41,11.08,4.823,717
2019-08-11T00:00:00.000Z,2.08,12.12,5.15,3.72,7.44,2.465,709
2019-08-12T00:00:00.000Z,1.25,8.66,5.47,3.23,6.25,1.779,697
2019-08-13T00:00:00.000Z,0.06,7.85,2.83,1.6,5.77,2.103,708
2019-08-14T00:00:00.000Z,1.23,7.26,2.84,2.31,3.47,1.055,713
2019-08-15T00:00:00.000Z,2.95,28.66,11.75,7.39,19.47,6.974,709
2019-08-16T00:00:00.000Z,0,22.51,3.6,2.04,4.97,3.649,714
2019-08-17T00:00:00.000Z,3.06,28.54,8.94,5.91,16.46,7.093,714
2019-08-18T00:00:00.000Z,3.19,11.14,6.6,5.87,7.52,1.349,718
2019-08-19T00:00:00.000Z,0.97,9.71,5.55,3.88,6.48,1.77,719
2019-08-20T00:00:00.000Z,1.03,10.13,4.78,3.23,7.05,2.165,714
2019-08-21T00:00:00.000Z,1.43,11.69,3.63,2.76,5.38,1.61,717
2019-08-22T00:00:00.000Z,4.25,25.09,8.96,7.77,12,3.659,691
2019-08-23T00:00:00.000Z,2.61,23.72,6.6,4.78,8.36,2.365,712
2019-08-24T00:00:00.000Z,3.08,22.73,12.07,6.01,14.78,4.943,716
2019-08-25T00:00:00.000Z,6.28,31.08,14.65,11.57,17.72,4.148,712
2019-08-26T00:00:00.000Z,13.55,27.34,18.6,17.5,19.95,2.089,701
2019-08-27T00:00:00.000Z,14.86,29.39,21.91,18.89,25.08,3.514,608
2019-08-28T00:00:00.000Z,27.84,46.23,35.34,32.54,38.78,4.244,632
2019-08-29T00:00:00.000Z,0.65,65.91,12.55,3.56,46.01,21.806,712
2019-08-30T00:00:00.000Z,1.21,27.97,3.3,2.72,4.58,2.88,634
2019-08-31T00:00:00.000Z,11.08,41.83,32.36,30.3,35.04,3.99,376
2019-09-01T00:00:00.000Z,0,48.59,2.44,0.97,39.97,18.674,550
2019-09-02T00:00:00.000Z,0,4.71,0.65,0.23,1.46,0.812,601
2019-09-03T00:00:00.000Z,0,3.74,1.59,0.91,2.21,0.822,604
2019-09-04T00:00:00.000Z,0,28.22,4.63,2.89,13.69,6.985,715
