date,min,max,PM 2.5 median,q1,q3,stdev,count
2019-05-10T00:00:00.000Z,0.93,32.18,16.32,3.18,20.92,9.448,516
2019-05-11T00:00:00.000Z,0.06,8.43,2.2,1.33,3.83,1.814,1035
2019-05-12T00:00:00.000Z,0.02,5.55,1.57,0.59,3.37,1.48,927
2019-05-13T00:00:00.000Z,0.02,7.82,1.47,0.53,3.76,2.055,896
2019-05-14T00:00:00.000Z,0.02,29.51,1.44,0.6,3.21,1.934,909
2019-05-15T00:00:00.000Z,0.51,5.82,2.11,1.65,2.78,0.982,913
2019-05-16T00:00:00.000Z,0.02,8.92,1.4,0.82,2.08,1.132,933
2019-05-17T00:00:00.000Z,0.85,35.38,3.18,2.54,5.44,3.397,1048
2019-05-18T00:00:00.000Z,3.33,60.23,15.79,12.1,24.38,8.798,956
2019-05-19T00:00:00.000Z,9,31.67,16.25,13.61,19.64,4.449,1020
2019-05-20T00:00:00.000Z,2.19,24.94,10.78,7.77,16.96,5.657,1052
2019-05-21T00:00:00.000Z,3.21,51.74,30.04,27.58,32.88,8.603,1050
2019-05-22T00:00:00.000Z,0.56,34.36,13.92,6.54,22.4,9.171,1065
2019-05-23T00:00:00.000Z,0.8,24.07,5.63,2.47,11.71,5.996,1052
2019-05-24T00:00:00.000Z,0.02,32.13,9.17,3.77,22.1,9.773,1042
2019-05-25T00:00:00.000Z,0.18,15.96,3.44,2.48,4.26,1.562,1045
2019-05-26T00:00:00.000Z,0.02,13.47,1.87,0.45,3.49,2.136,1056
2019-05-27T00:00:00.000Z,0.02,13.32,2.73,1.53,3.99,2.2,989
2019-05-28T00:00:00.000Z,0.02,7.85,1.29,0.84,2.24,2.064,1009
2019-05-29T00:00:00.000Z,0.02,40.53,0.34,0.12,0.95,1.68,1053
2019-05-30T00:00:00.000Z,0.18,25.4,4.62,2.69,16.45,7.267,1030
2019-05-31T00:00:00.000Z,0.02,22.8,2.67,1.24,5.74,6.089,976
2019-06-01T00:00:00.000Z,3.33,19.93,9.67,5.91,13.14,4.293,677
2019-06-02T00:00:00.000Z,0.11,9.85,2.41,1.46,5.01,2.189,682
2019-06-03T00:00:00.000Z,2.04,18,7.42,5.65,10.96,3.998,683
2019-06-04T00:00:00.000Z,2.16,10.86,5,4,5.68,1.322,692
2019-06-05T00:00:00.000Z,5.87,66.9,25.5,12.06,27.89,8.65,634
2019-06-06T00:00:00.000Z,4.84,29.33,16.61,13.98,26.31,7.04,721
2019-06-07T00:00:00.000Z,1.04,16.32,4.37,3.46,6.3,3.041,716
2019-06-08T00:00:00.000Z,0.97,24.43,4.62,3.45,14.11,6.187,719
2019-06-09T00:00:00.000Z,1.26,7.14,3.13,2.2,4.18,1.221,718
2019-06-10T00:00:00.000Z,2.79,23.57,6.12,4.68,7.78,3.801,722
2019-06-11T00:00:00.000Z,2.02,23.08,8.9,6.36,11.23,4.089,719
2019-06-12T00:00:00.000Z,4.38,35.56,15.38,11.87,22.32,7.931,722
2019-06-13T00:00:00.000Z,2.54,31.92,7.32,4.44,21.6,9.914,720
2019-06-14T00:00:00.000Z,0.47,15.94,2.19,1.65,3.99,2.271,717
2019-06-15T00:00:00.000Z,3.37,45.89,7.89,6.56,9.31,2.927,718
2019-06-16T00:00:00.000Z,0.8,22.16,7.6,2.22,10.29,5.28,719
2019-06-17T00:00:00.000Z,1.01,15.15,4.69,3.4,10.36,3.943,720
2019-06-18T00:00:00.000Z,1.77,19.48,9.38,6,13.52,4.458,717
2019-06-19T00:00:00.000Z,10.35,27.7,17.05,14.06,19.14,3.394,722
2019-06-20T00:00:00.000Z,4.07,26.38,12.32,8.65,19.62,6.28,721
2019-06-21T00:00:00.000Z,0.56,6.66,3.17,2.33,4,1.272,718
2019-06-22T00:00:00.000Z,0,5.54,0.9,0.41,1.47,1.104,718
2019-06-23T00:00:00.000Z,0,98.49,1.67,0.65,3.33,7.023,718
2019-06-24T00:00:00.000Z,0,47,2.29,1.18,7.37,7.386,721
2019-06-25T00:00:00.000Z,1.01,20.12,11,3.13,13.63,5.219,707
2019-06-26T00:00:00.000Z,3.2,25.47,13.04,11.25,17.85,5.099,721
2019-06-27T00:00:00.000Z,1.61,11.1,4.09,3.17,4.88,1.954,621
2019-06-28T00:00:00.000Z,2.35,13.26,4.51,3.58,5.74,2.321,720
2019-06-29T00:00:00.000Z,0.61,11.13,5.13,3.43,7.67,2.691,718
2019-06-30T00:00:00.000Z,3.04,20.57,6,4.88,8.16,3.396,699
2019-07-01T00:00:00.000Z,0.49,8.81,2.85,1.94,5.21,1.941,718
2019-07-02T00:00:00.000Z,0,207.94,0.18,0.04,0.44,7.74,720
2019-07-03T00:00:00.000Z,0,8.53,0.06,0,0.24,0.559,718
2019-07-04T00:00:00.000Z,0,17.14,1.06,0.5,2.1,1.53,717
2019-07-05T00:00:00.000Z,0,2.9,0.17,0,0.85,0.609,720
2019-07-06T00:00:00.000Z,0,6.34,2.04,1.21,2.79,1.069,719
2019-07-07T00:00:00.000Z,0.13,5.86,2.64,1.63,3.41,1.191,717
2019-07-08T00:00:00.000Z,0,6.99,3.57,2.09,4.78,1.668,719
2019-07-09T00:00:00.000Z,0.13,5.15,2.77,2.04,3.41,1.062,718
2019-07-10T00:00:00.000Z,0.3,20.68,2.36,1.69,3.14,1.266,718
2019-07-11T00:00:00.000Z,1.53,6.22,2.93,2.39,3.58,0.905,718
2019-07-12T00:00:00.000Z,3.07,14.82,5.19,4.7,5.76,1.266,721
2019-07-13T00:00:00.000Z,3.31,16.3,5.93,5.09,9.97,3.177,719
2019-07-14T00:00:00.000Z,5.6,13.63,8.69,7.53,9.42,1.245,714
2019-07-15T00:00:00.000Z,3.45,11.44,8.07,6.99,9.07,1.468,721
2019-07-16T00:00:00.000Z,0,9.19,5.18,0.66,6.33,2.835,718
2019-07-17T00:00:00.000Z,0,17.84,2.57,1.75,3.2,2.538,699
2019-07-18T00:00:00.000Z,0.69,17.1,3.04,2.46,4.29,1.517,717
2019-07-19T00:00:00.000Z,1.21,41.03,6.09,4.65,9.07,6.507,716
2019-07-20T00:00:00.000Z,1.68,25,7.77,5.09,17.51,6.602,674
2019-07-21T00:00:00.000Z,1.06,12.48,3.7,2.44,4.76,2.064,353
2019-07-22T00:00:00.000Z,0.27,10.16,2.86,2,3.69,1.475,703
2019-07-23T00:00:00.000Z,4.99,21.09,8.36,7.18,12.24,2.827,704
2019-07-24T00:00:00.000Z,3.97,11.48,7.25,6.56,8.3,1.394,719
2019-07-25T00:00:00.000Z,2.54,12.16,5.11,3.96,7.69,2.168,718
2019-07-26T00:00:00.000Z,3.82,13.93,7.34,5.83,9.27,2.222,719
2019-07-27T00:00:00.000Z,6.32,16.55,11.1,8.82,13.19,2.547,720
2019-07-28T00:00:00.000Z,0.99,24.08,17.64,15.56,20.36,5.504,715
2019-07-29T00:00:00.000Z,17.36,29.11,24.34,20.41,25.92,2.896,719
2019-07-30T00:00:00.000Z,2.5,33.35,25.73,5.71,27.89,10.824,719
2019-07-31T00:00:00.000Z,1.25,4.79,2.8,2.39,3.24,0.655,719
2019-08-01T00:00:00.000Z,0.61,9.81,3.68,3.01,4.04,0.985,715
2019-08-02T00:00:00.000Z,2.13,11.48,4.91,4.09,6.84,1.976,718
2019-08-03T00:00:00.000Z,4.03,16.59,5.77,5.15,6.84,2.43,718
2019-08-04T00:00:00.000Z,0.28,16.57,7.18,2.42,8.99,3.994,718
2019-08-05T00:00:00.000Z,2.43,13.83,5.96,4.11,7.87,2.151,717
2019-08-06T00:00:00.000Z,1.61,17.17,5.46,3.79,9.63,3.601,717
2019-08-07T00:00:00.000Z,1.5,16.62,6.94,5.68,10.23,3.507,717
2019-08-08T00:00:00.000Z,0.06,10.57,3.48,1.75,6.08,2.294,718
2019-08-09T00:00:00.000Z,0.36,6.18,2.81,2.14,3.41,1.058,717
2019-08-10T00:00:00.000Z,0,25.59,4.59,3.32,7.75,4.79,716
2019-08-11T00:00:00.000Z,1.43,5.77,3.8,3.19,4.36,0.77,715
2019-08-12T00:00:00.000Z,0.67,7.14,4.42,2.77,5.51,1.615,716
2019-08-13T00:00:00.000Z,0,7.47,1.99,1.22,3.03,1.115,719
2019-08-14T00:00:00.000Z,0,4.88,1.82,1.19,2.38,0.862,717
2019-08-15T00:00:00.000Z,1.12,19.72,4.38,3.46,8.74,4.654,716
2019-08-16T00:00:00.000Z,0,19.03,2.83,0.67,4.9,4.394,714
2019-08-17T00:00:00.000Z,1.38,21.1,7.77,3.97,9.66,4.663,717
2019-08-18T00:00:00.000Z,1.72,24.62,5.32,4.03,14.73,6.655,719
2019-08-19T00:00:00.000Z,0.3,8.52,3.78,2.79,5.79,1.875,719
2019-08-20T00:00:00.000Z,0.48,6.42,2.87,2.25,3.36,0.802,715
2019-08-21T00:00:00.000Z,0,6.42,2.86,1.87,4.44,1.577,715
2019-08-22T00:00:00.000Z,2.29,11.6,4.46,3.43,5.72,1.894,695
2019-08-23T00:00:00.000Z,2.14,16.87,4.83,3.72,11.67,4.508,710
