date, pm25, pm10, o3, no2, co
2017/1/2, 21, 7, 33, 1, 1
2017/1/3, 26, 10, 33, , 1
2016/10/1, 30, 8, 23, 3, 1
2016/10/2, 26, 6, 21, 1, 
2016/10/3, 22, 5, 21, 2, 
2016/10/4, 17, 5, 22, 1, 1
2016/10/5, 14, 6, 23, , 1
2016/10/6, 18, 7, 21, 1, 1
2016/10/7, 21, 5, 20, , 1
2016/10/8, 18, 5, 20, , 1
2016/10/9, 19, 7, 19, 1, 
2016/10/10, 19, 4, 20, , 
2016/10/11, 16, 22, 18, 1, 1
2016/10/12, 19, 10, 21, 1, 1
2016/10/13, 24, 10, 24, 2, 1
2016/10/14, 34, 11, 23, 1, 1
2016/10/15, 42, 8, 12, 3, 1
2016/10/16, 38, 19, 15, 3, 1
2016/10/17, 65, 15, 13, 4, 1
2016/10/18, 54, 15, 15, 3, 1
2016/10/19, 53, 6, 22, 3, 1
2016/10/20, 23, 7, 15, 1, 1
2016/10/21, 30, 5, 13, 1, 1
2016/10/22, 23, 5, 16, 2, 1
2016/10/23, 20, 11, 16, 4, 1
2016/10/24, 43, 10, 13, 4, 1
2016/10/25, 37, 10, 17, 5, 1
2016/10/26, 39, 13, 22, 2, 1
2016/10/27, 34, 12, 31, , 1
2016/10/28, 26, 13, 32, , 1
2016/10/29, 28, 10, 27, 1, 1
2016/10/30, 26, 8, 16, 3, 1
2016/10/31, 27, 7, 31, , 1
2016/11/1, 12, 7, 24, , 1
2016/11/2, 14, 6, 20, 2, 1
2016/11/3, 17, 8, 13, 8, 1
2016/11/4, 27, 8, 17, 5, 1
2016/11/5, 24, 7, 21, 2, 1
2016/11/6, 22, 7, 22, 1, 1
2016/11/7, 22, 19, 20, 3, 1
2016/11/8, 22, 15, 16, 8, 1
2016/11/9, 26, 6, 20, 5, 1
2016/11/10, 27, 7, 15, 6, 1
2016/11/11, 30, 13, 14, 10, 3
2016/11/12, 51, 11, 17, 5, 2
2016/11/13, 45, 12, 13, 6, 2
2016/11/14, 49, 7, 27, 4, 1
2016/11/15, 19, 10, 25, 3, 1
2016/11/16, 18, 11, 22, 3, 1
2016/11/17, 22, 7, 28, 2, 1
2016/11/18, 18, 7, 27, 2, 1
2016/11/19, 23, 7, 26, 2, 1
2016/11/20, 22, 11, 24, 8, 1
2016/11/21, 34, 21, 7, 11, 2
2016/11/22, 61, 13, 13, 11, 1
2016/11/23, 39, 8, 23, 1, 1
2016/11/24, 18, 8, 22, 3, 1
